topic,term,relevance
12,슈주,3.001994170271
12,흐루쇼프,3.001994170271
13,아지지,2.4820728486931327
13,地獄,2.4820728486931327
13,박광주,2.4820728486931327
13,북이,2.4820728486931327
13,라우다,2.4820728486931327
13,신줏단지,2.4820728486931327
13,조파,2.4820728486931327
13,洋,2.4820728486931327
13,호찌,2.4820728486931327
13,아이젠슈타트,2.4820728486931327
13,포만,2.4820728486931327
13,統攝,2.4820728486931327
13,회갑,2.4820728486931327
13,등거리,2.4820728486931327
13,연루자,2.4820728486931327
14,원산폭격,2.0475580550418444
14,전여농,2.0475580550418444
14,북신,2.0475580550418444
14,임수경,2.0475580550418444
14,좌편,2.0475580550418444
14,개발청,2.0475580550418444
14,홍문표,2.0475580550418444
14,환급금,2.0475580550418444
14,연납,2.0475580550418444
14,소초면,2.0475580550418444
14,문막읍,2.0475580550418444
14,코뚜레,2.0475580550418444
14,이명노,2.0475580550418444
14,부구,2.0475580550418444
14,홍상희,2.0475580550418444
15,파색,2.4758934717409784
15,아오모리,2.4758934717409784
15,남경필,2.4758934717409784
15,덧셈,2.4758934717409784
15,마곡,2.4758934717409784
15,보안등,2.4758934717409784
15,윤이형,2.4758934717409784
15,월대,2.4758934717409784
15,벙에,2.4758934717409784
15,수난사,2.4758934717409784
15,강서군,2.4758934717409784
15,자니,2.4758934717409784
15,박람,2.4758934717409784
15,고당,2.4758934717409784
15,절간,2.4758934717409784
16,슬라브족,2.148510444201277
16,슈메이트,2.148510444201277
16,롤라,2.148510444201277
16,소매체,2.148510444201277
16,평화기,2.148510444201277
16,하니에,2.148510444201277
16,땅고르기,2.148510444201277
16,입체주의,2.148510444201277
16,요안나,2.148510444201277
16,이즈라,2.148510444201277
16,브네,2.148510444201277
16,레마이,2.148510444201277
16,기피자,2.148510444201277
16,달리아,2.148510444201277
16,하임스,2.148510444201277
17,판스워스,2.618912682981604
17,주몽룡,2.618912682981604
17,라시스,2.618912682981604
17,벌초,2.618912682981604
17,보호제,2.618912682981604
17,불개미,2.618912682981604
17,아드레날린,2.618912682981604
17,안전핀,2.618912682981604
17,여법,2.618912682981604
17,원분,2.618912682981604
17,정은영,2.618912682981604
17,재환,2.618912682981604
17,증다,2.618912682981604
17,항온,2.618912682981604
17,차유정,2.618912682981604
18,다니아,2.340130374324979
18,첨언,2.340130374324979
18,화토,2.340130374324979
18,복기왕,2.340130374324979
18,구중궁궐,2.340130374324979
18,괄로,2.340130374324979
18,볶음밥,2.340130374324979
18,발사믹,2.340130374324979
18,김진애,2.340130374324979
18,동서양,2.340130374324979
18,역발상,2.340130374324979
18,국계,2.340130374324979
18,무전여행,2.340130374324979
18,호킨스,2.340130374324979
18,박재,2.340130374324979
19,브런치,3.257100322114289
19,곡전,3.257100322114289
19,國光,3.257100322114289
19,소성렬,3.257100322114289
19,통운,3.257100322114289
19,최경주,3.257100322114289
19,인비,3.257100322114289
19,꽃산,3.257100322114289
19,무색무취,3.257100322114289
19,배객,3.257100322114289
19,세요,3.257100322114289
19,주룽지,3.257100322114289
19,흐느낌,3.257100322114289
19,오지현,3.257100322114289
19,김민휘,3.257100322114289
